SRLP,Sprague Resources,Wholesale Fuels,MLP,,
SGU,Star Gas Partners,Heating Oil,MLP,,
STON,Stonmor Partners,Cemeteries,MLP,,
SPH,Suburban Propane Partners,Fuel Distribution,MLP,,
SMLP,Summit Midstream Partners,Natural Gas Midstream,MLP,,
SXCP,SunCoke Energy Partners LP,Coke Manufacturing,MLP,,
SUN,Sunoco LP (was Susser),Fuel Distribution,MLP,,
TEP,Tallgrass Energy LP,Natural Gas Midstream,MLP,TRUE,
TEGP,Tallgrass Energy GP,Natural Gas Midstream,MLP,TRUE,
TCP,TC Pipelines,Natural Gas Midstream,MLP,,
TGP,Teekay LNG Partners,Liquid Natural Gas Ship,MLP,,
TOO,Teekay Offshore Partners LP,Shuttle Tankers,MLP,,
TNH,Terra Nitrogen,Fertilizer,MLP,,
TLP,Transmontaigne Partners,Refined Product Storage,MLP,,
USAC,USA Compression Partners,Natural Gas Midstream,MLP,,
VLP,Valero Energy Partners LP,Midstream Crude Oil,MLP,TRUE,
VNOM,Viper Energy,Oil and Gas Royalty,MLP,,
VTTI,VTTI Energy Partners,Storage,MLP,,
WGP,Western Gas Equity Partners,Natural Gas Midstream,MLP,TRUE,
WES,Western Gas Partners,Natural Gas Midstream,MLP,TRUE,
WNRL,Western Refining Logistics,Gas/Oil Midstream,MLP,TRUE,
WLKP,Westlake Chemical Partners,Ethylene Production,MLP,TRUE,
WMLP,Westmoreland Resource Partners,Coal,MLP,TRUE,
WPZ,Williams Partners,Natural Gas Midstream,MLP,,
WPT,World Point Terminals LP,Crude and Refined Storage,MLP,,
NYLD,,Solar Energy,MLP,TRUE,
TERP,,Solar Energy,MLP,TRUE,
PEGI,,Solar Energy,MLP,TRUE,
HASI,,Solar Energy,MLP,,
ABY,,Solar Energy,MLP,TRUE,
GLBL,,Solar Energy,MLP,TRUE,
BEP,,Solar Energy,MLP,,
GPP,,Solar Energy,MLP,,
OMP,,Gas/Oil Midstream,MLP,TRUE,
